protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S2,ipi=0.20_m=0.50,3.900000,,0.50,1.927331,0.370153,8.202479,true,true,40,0.313328
S2,ipi=0.20_m=0.50,4.100000,,0.50,1.927333,0.377052,8.598424,true,true,42,0.319168
S2,ipi=0.20_m=0.50,4.300000,,0.50,1.927333,0.383666,8.993051,true,true,44,0.324767
S2,ipi=0.20_m=0.50,4.500000,,0.50,1.927334,0.390019,9.386365,true,true,46,0.330144
S2,ipi=0.20_m=0.50,4.700000,,0.50,1.927334,0.396132,9.778370,true,true,48,0.335318
S2,ipi=0.20_m=0.50,4.900000,,0.50,1.927334,0.402022,10.169071,true,true,50,0.340304
S2,ipi=0.20_m=0.50,5.100000,,0.50,1.927334,0.407706,10.558471,true,true,52,0.345116
S2,ipi=0.20_m=0.50,5.300000,,0.50,1.927334,0.413199,10.946576,true,true,54,0.349765
S2,ipi=0.20_m=0.50,5.500000,,0.50,1.927334,0.418513,11.333389,true,true,56,0.354264
S2,ipi=0.20_m=0.50,5.700000,,0.50,1.927334,0.423660,11.718915,true,true,58,0.358621
S2,ipi=0.20_m=0.50,5.900000,,0.50,1.927334,0.428652,12.103158,true,true,60,0.362846
S2,ipi=0.20_m=0.50,6.100000,,0.50,1.927334,0.433497,12.486122,true,true,62,0.366947
S2,ipi=0.20_m=0.50,6.300000,,0.50,1.927334,0.438205,12.867811,true,true,64,0.370932
S2,ipi=0.20_m=0.50,6.500000,,0.50,1.927334,0.442782,13.248231,true,true,66,0.374807
S2,ipi=0.20_m=0.50,6.700000,,0.50,1.927334,0.447238,13.627385,true,true,68,0.378579
S2,ipi=0.20_m=0.50,6.900000,,0.50,1.927334,0.451578,14.005276,true,true,70,0.382253
S2,ipi=0.20_m=0.50,7.100000,,0.50,1.927334,0.455809,14.381911,true,true,72,0.385834
S2,ipi=0.20_m=0.50,7.300000,,0.50,1.927334,0.459937,14.757292,true,true,74,0.389328
S2,ipi=0.20_m=0.50,7.500000,,0.50,1.927334,0.463966,15.131424,true,true,76,0.392738
S2,ipi=0.20_m=0.50,7.700000,,0.50,1.927334,0.467901,15.504310,true,true,78,0.396070
S2,ipi=0.20_m=0.50,7.900000,,0.50,1.927334,0.471748,15.875956,true,true,80,0.399326
S2,ipi=0.20_m=0.50,8.100000,,0.50,1.927334,0.475510,16.246365,true,true,82,0.402510
S2,ipi=0.20_m=0.50,8.300000,,0.50,1.927334,0.479191,16.615542,true,true,84,0.405626
S2,ipi=0.20_m=0.50,8.500000,,0.50,1.927334,0.482795,16.983490,true,true,86,0.408677
S2,ipi=0.20_m=0.50,8.700000,,0.50,1.927334,0.486325,17.350213,true,true,88,0.411665
S2,ipi=0.20_m=0.50,8.900000,,0.50,1.927334,0.489785,17.715716,true,true,90,0.414594
S2,ipi=0.20_m=0.50,9.100000,,0.50,1.927334,0.493177,18.080003,true,true,92,0.417465
S2,ipi=0.20_m=0.50,9.300000,,0.50,1.927334,0.496504,18.443078,true,true,94,0.420282
S2,ipi=0.20_m=0.50,9.500000,,0.50,1.927334,0.499770,18.804944,true,true,96,0.423046
S2,ipi=0.20_m=0.50,9.700000,,0.50,1.927334,0.502975,19.165606,true,true,98,0.425759
S2,ipi=0.20_m=0.50,9.900000,,0.50,1.927334,0.506123,19.525068,true,true,100,0.428424
S2,ipi=0.20_m=0.50,10.100000,,0.50,1.927334,0.509216,19.883333,true,true,102,0.431042
S2,ipi=0.20_m=0.50,10.300000,,0.50,1.927334,0.512257,20.240407,true,true,104,0.433616
S2,ipi=0.20_m=0.50,10.500000,,0.50,1.927334,0.515245,20.596292,true,true,106,0.436146
S2,ipi=0.20_m=0.50,10.700000,,0.50,1.927334,0.518185,20.950993,true,true,108,0.438634
S2,ipi=0.20_m=0.50,10.900000,,0.50,1.927334,0.521077,21.304513,true,true,110,0.441082
S2,ipi=0.20_m=0.50,11.100000,,0.50,1.927334,0.523924,21.656857,true,true,112,0.443492
