protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective,dw
S8,m=-1.0|ltd,6.300000,,-1.0,1.927334,0.433060,25.735623,true,true,64,0.366577,-0.004889
S8,m=-1.0|ltd,6.500000,,-1.0,1.927334,0.428311,26.496462,true,true,66,0.362557,-0.004749
S8,m=-1.0|ltd,6.700000,,-1.0,1.927334,0.423693,27.254769,true,true,68,0.358648,-0.004618
S8,m=-1.0|ltd,6.900000,,-1.0,1.927334,0.419199,28.010553,true,true,70,0.354844,-0.004494
S8,m=-1.0|ltd,7.100000,,-1.0,1.927334,0.414822,28.763822,true,true,72,0.351140,-0.004377
S8,m=-1.0|ltd,7.300000,,-1.0,1.927334,0.410556,29.514584,true,true,74,0.347528,-0.004266
S8,m=-1.0|ltd,7.500000,,-1.0,1.927334,0.406395,30.262847,true,true,76,0.344006,-0.004161
S8,m=-1.0|ltd,7.700000,,-1.0,1.927334,0.402334,31.008621,true,true,78,0.340568,-0.004061
S8,m=-1.0|ltd,7.900000,,-1.0,1.927334,0.398367,31.751912,true,true,80,0.337210,-0.003967
S8,m=-1.0|ltd,8.100000,,-1.0,1.927334,0.394490,32.492731,true,true,82,0.333929,-0.003877
S8,m=-1.0|ltd,8.300000,,-1.0,1.927334,0.390699,33.231084,true,true,84,0.330720,-0.003791
S8,m=-1.0|ltd,8.500000,,-1.0,1.927334,0.386990,33.966979,true,true,86,0.327580,-0.003709
S8,m=-1.0|ltd,8.700000,,-1.0,1.927334,0.383359,34.700426,true,true,88,0.324506,-0.003631
S8,m=-1.0|ltd,8.900000,,-1.0,1.927334,0.379802,35.431433,true,true,90,0.321496,-0.003557
S8,m=-1.0|ltd,9.100000,,-1.0,1.927334,0.376317,36.160006,true,true,92,0.318545,-0.003485
S8,m=-1.0|ltd,9.300000,,-1.0,1.927334,0.372900,36.886155,true,true,94,0.315653,-0.003417
S8,m=-1.0|ltd,9.500000,,-1.0,1.927334,0.369549,37.609888,true,true,96,0.312816,-0.003351
S8,m=-1.0|ltd,9.700000,,-1.0,1.927334,0.366260,38.331212,true,true,98,0.310032,-0.003289
S8,m=-1.0|ltd,9.900000,,-1.0,1.927334,0.363032,39.050136,true,true,100,0.307300,-0.003228
S8,m=-1.0|ltd,10.100000,,-1.0,1.927334,0.359861,39.766667,true,true,102,0.304616,-0.003170
S8,m=-1.0|ltd,10.300000,,-1.0,1.927334,0.356747,40.480814,true,true,104,0.301980,-0.003115
S8,m=-1.0|ltd,10.500000,,-1.0,1.927334,0.353686,41.192584,true,true,106,0.299389,-0.003061
S8,m=-1.0|ltd,10.700000,,-1.0,1.927334,0.350676,41.901986,true,true,108,0.296841,-0.003009
S8,m=-1.0|ltd,10.900000,,-1.0,1.927334,0.347717,42.609027,true,true,110,0.294336,-0.002960
S8,m=-1.0|ltd,11.100000,,-1.0,1.927334,0.344805,43.313715,true,true,112,0.291871,-0.002912
S8,m=-1.0|ltd,11.300000,,-1.0,1.927334,0.341940,44.016058,true,true,114,0.289446,-0.002865
S8,m=-1.0|ltd,11.500000,,-1.0,1.927334,0.339119,44.716064,true,true,116,0.287058,-0.002821
S8,m=-1.0|ltd,11.700000,,-1.0,1.927334,0.336342,45.413740,true,true,118,0.284707,-0.002777
S8,m=-1.0|ltd,11.900000,,-1.0,1.927334,0.333606,46.109095,true,true,120,0.282392,-0.002736
